	BackLine	FrontArc	BackArc	TopArc	BottomArc	Bubble	TopLine	BottomLine	Triangle	GreaterThan	TouchUp	Junk	LabelBoxOther	Entire_OR	Entire_AND	Wire
BackLine	771	2	37	1	1	2	8	4	2	10	21	11	1	1	1	1	
FrontArc	3	614	31	2	1	5	2	7	10	110	5	1	1	3	1	1	
BackArc	27	17	528	2	1	1	5	14	2	39	1	3	1	1	1	1	
TopArc	1	2	1	180	10	8	4	1	1	3	1	1	1	1	1	1	
BottomArc	1	2	5	20	172	2	1	4	1	2	1	1	1	1	1	1	
Bubble	1	6	1	1	4	509	3	1	7	22	3	3	1	2	1	1	
TopLine	6	1	5	8	3	4	74	13	1	7	25	8	1	1	1	1	
BottomLine	1	1	9	1	11	3	1	84	1	10	23	6	1	1	1	1	
Triangle	1	9	1	1	1	11	1	1	41	30	1	1	1	1	5	1	
GreaterThan	3	26	9	1	1	1	1	1	1	121	1	3	1	1	1	1	
TouchUp	18	4	5	5	4	9	3	7	1	6	27	8	1	1	1	1	
Junk	6	4	3	2	2	4	3	3	3	4	6	9	1	1	1	1	
LabelBoxOther	1	14	7	5	8	32	58	40	10	80	23	28	1	3	18	1	
Entire_OR	1	11	1	1	1	1	1	1	4	2	1	1	1	34	2	1	
Entire_AND	1	6	2	1	1	2	1	1	3	7	2	2	1	5	22	1	
Wire	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	


