Or_RightTop
35
19958,2455,1243461614065
19958,2455,1243461614073
19958,2455,1243461614080
19958,2455,1243461614088
19958,2455,1243461614095
19969,2458,1243461614103
19980,2458,1243461614110
20013,2464,1243461614118
20052,2469,1243461614125
20119,2477,1243461614133
20205,2480,1243461614141
20319,2497,1243461614148
20455,2516,1243461614156
20613,2547,1243461614163
20791,2585,1243461614171
20988,2635,1243461614178
21191,2691,1243461614186
21402,2760,1243461614193
21610,2835,1243461614201
21816,2924,1243461614208
22013,3012,1243461614216
22202,3104,1243461614223
22368,3201,1243461614231
22521,3292,1243461614238
22646,3381,1243461614246
22752,3461,1243461614253
22829,3536,1243461614261
22885,3600,1243461614268
22924,3655,1243461614276
22946,3699,1243461614283
22963,3741,1243461614291
22971,3769,1243461614298
22985,3788,1243461614306
22996,3799,1243461614313
23010,3805,1243461614321
