And_Left
23
20180,2555,1243461231015
20180,2519,1243461231022
20180,2508,1243461231030
20180,2508,1243461231037
20180,2524,1243461231045
20171,2561,1243461231052
20166,2624,1243461231060
20155,2716,1243461231067
20141,2838,1243461231075
20121,2982,1243461231082
20102,3151,1243461231090
20077,3331,1243461231097
20058,3519,1243461231105
20035,3697,1243461231112
20013,3868,1243461231120
19997,4024,1243461231127
19983,4159,1243461231135
19974,4279,1243461231142
19966,4373,1243461231150
19966,4459,1243461231157
19960,4522,1243461231165
19960,4572,1243461231172
19960,4608,1243461231180
