And_Or_Right
47
6132,8793,1243461529756
6132,8782,1243461529764
6154,8782,1243461529771
6177,8782,1243461529779
6207,8787,1243461529786
6254,8801,1243461529794
6313,8815,1243461529801
6385,8834,1243461529809
6471,8854,1243461529816
6568,8884,1243461529824
6671,8915,1243461529831
6788,8956,1243461529839
6910,8998,1243461529846
7049,9048,1243461529854
7193,9103,1243461529861
7346,9167,1243461529869
7507,9239,1243461529876
7676,9317,1243461529884
7849,9397,1243461529891
8015,9491,1243461529899
8176,9585,1243461529906
8335,9685,1243461529914
8476,9793,1243461529922
8601,9901,1243461529929
8710,10015,1243461529937
8790,10131,1243461529944
8840,10253,1243461529952
8865,10381,1243461529959
8857,10508,1243461529967
8815,10644,1243461529974
8735,10780,1243461529982
8618,10918,1243461529989
8468,11060,1243461529997
8282,11195,1243461530004
8074,11337,1243461530012
7846,11472,1243461530019
7601,11608,1243461530027
7351,11738,1243461530034
7110,11863,1243461530042
6871,11974,1243461530049
6643,12082,1243461530057
6438,12174,1243461530064
6254,12259,1243461530072
6093,12323,1243461530079
5960,12370,1243461530087
5860,12398,1243461530094
5793,12409,1243461530102
