Bubble
35
6293,8446,1243463912783
6207,8377,1243463912791
6135,8377,1243463912798
6049,8405,1243463912806
5949,8466,1243463912813
5835,8552,1243463912821
5727,8676,1243463912828
5618,8823,1243463912836
5524,8987,1243463912843
5446,9156,1243463912851
5396,9325,1243463912859
5374,9480,1243463912866
5385,9607,1243463912874
5432,9713,1243463912881
5513,9771,1243463912889
5618,9796,1243463912896
5746,9779,1243463912904
5888,9732,1243463912911
6030,9663,1243463912919
6168,9566,1243463912926
6291,9452,1243463912934
6396,9333,1243463912941
6471,9206,1243463912949
6518,9078,1243463912956
6535,8967,1243463912964
6521,8865,1243463912971
6479,8779,1243463912979
6418,8712,1243463912986
6341,8663,1243463912994
6254,8635,1243463913001
6166,8615,1243463913009
6091,8621,1243463913016
6032,8627,1243463913024
5993,8640,1243463913031
5977,8654,1243463913039
