	BackLine	FrontArc	BackArc	TopArc	BottomArc	Bubble	TopLine	BottomLine	Triangle	GreaterThan	TouchUp	Junk	LabelBoxOther	Entire_OR	Entire_AND	Wire
BackLine	780	1	52	5	4	1	10	4	2	1	5	3	1	1	3	1	
FrontArc	1	559	40	3	6	15	1	2	19	135	2	1	1	9	2	1	
BackArc	71	5	510	9	15	2	8	3	1	9	3	3	1	2	1	1	
TopArc	1	1	1	122	40	1	19	21	1	1	4	1	1	1	1	1	
BottomArc	1	1	1	39	120	1	5	39	1	2	1	1	1	1	1	1	
Bubble	1	1	1	1	1	485	2	1	5	8	37	16	1	1	4	1	
TopLine	5	1	4	5	2	2	52	42	1	1	37	3	1	1	1	1	
BottomLine	1	1	3	3	4	1	13	87	1	1	29	7	1	1	1	1	
Triangle	1	11	1	1	1	26	1	1	24	19	1	3	1	4	11	1	
GreaterThan	1	7	15	1	1	3	1	1	1	120	14	4	1	1	1	1	
TouchUp	23	4	3	2	2	4	7	20	2	3	18	9	1	1	1	1	
Junk	8	2	1	1	1	3	5	6	4	2	6	8	1	1	3	1	
LabelBoxOther	1	7	1	32	18	5	68	92	16	32	14	8	1	24	9	1	
Entire_OR	1	1	1	1	1	2	1	1	1	1	1	1	1	44	5	1	
Entire_AND	1	4	1	1	1	3	1	1	5	8	1	1	1	9	19	1	
Wire	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	


